compound_id,canonical_name,cas_number,pubchem_cid,chebi_id,molecular_formula,molecular_weight,logp,vapor_pressure,boiling_point,functional_groups,odor_descriptors,taste_descriptors,odor_threshold,threshold_unit,threshold_matrix,source_refs,license_source,confidence
H2S,Hydrogen sulfide,7783-06-4,402,CHEBI:16636,H2S,34.08,0.23,20000000,-60,,sulfurous|rotten_egg,,0.0007,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.95
DMS,Dimethyl sulfide,75-18-3,1068,CHEBI:14182,C2H6S,62.13,0.92,64000,37,,marine|cabbage|sulfurous,,0.012,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.90
MSG,Monosodium glutamate,142-47-2,23657,CHEBI:15972,C5H8NNaO4,169.11,-3.05,0,,,umami|broth|savory,umami,300,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.98
GUANOS5,GMP (5'-guanosine monophosphate),85-32-5,135398635,CHEBI:17345,C10H14N5O8P,363.22,-2.5,0,,,umami|enhancer,umami,12.5,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.95
GUAIACOL,Guaiacol,90-05-1,460,CHEBI:28591,C7H8O2,124.14,1.32,50,205,,smoky|medicinal|spicy,,0.001,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.95
CAPSAICIN,Capsaicin,404-86-4,1548943,CHEBI:22541,C18H27NO3,305.41,3.04,1e-05,280,,spicy|hot|burning,pungent,0.01,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.98
SUCROSE,Sucrose,57-50-1,5988,CHEBI:17992,C12H22O11,342.3,-3.7,0,,,sweet,sweet,10000,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.98
GLUCOSE,Glucose,50-99-7,5793,CHEBI:17234,C6H12O6,180.16,-2.6,0,,,sweet,sweet,10000,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.98
FRUCTOSE,Fructose,57-48-7,5984,CHEBI:28645,C6H12O6,180.16,-1.55,0,,,sweet,sweet,4000,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.98
TETRAMPYR,Tetramethylpyrazine,1124-11-4,14296,CHEBI:13303,C8H12N2,136.19,1.4,6,174,,nutty|roasted|cocoa,,0.14,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.85
UNDECALACT,gamma-Undecalactone,104-67-6,7714,CHEBI:16973,C11H20O2,184.28,3.5,0.5,286,,peach|fruity|creamy,sweet,0.006,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.85
SYRINGOL,Syringol,91-10-1,7041,CHEBI:18126,C8H10O3,154.16,1.0,8,261,,smoky|woody|spicy,,0.02,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.85
ISOEUGENOL,Isoeugenol,97-54-1,3324,CHEBI:18360,C10H12O2,164.2,2.65,2,266,,clove|spicy|floral,,0.005,mg/L,water,FLAVORDB2|PUBCHEM|CHEBI,approved,0.85
