pair_id,ingredient_a_id,ingredient_b_id,context,process_context,shared_compound_score,threshold_weighted_similarity,aroma_complement_score,aroma_contrast_score,taste_balance_score,dominance_risk,masking_risk,culinary_cooccurrence_score,cross_cuisine_support,sensory_study_score,literature_support,overall_pair_score,score_method_version,confidence,evidence_refs,explanation
PAIR-00001,ING-PLANT-ABRICOT-000001,ING-ANIMAL-AGNEAUVIANDE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00023,ING-PLANT-ABRICOT-000001,ING-TECH-CHOCOLATAULA-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.400,0.250,0.200,,,,,0.040,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00024,ING-PLANT-ABRICOT-000001,ING-TECH-CHOCOLATNOIR-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.600,0.250,0.200,,,,,0.080,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.20
PAIR-00025,ING-PLANT-ABRICOT-000001,ING-TECH-CHOCOLATNOIR-000002,all,raw_or_cooked,0.000,0.000,0.143,0.857,0.600,0.250,0.000,,,,,0.113,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.14; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00026,ING-PLANT-ABRICOT-000001,ING-PLANT-CIBOULETTE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00027,ING-PLANT-ABRICOT-000001,ING-PLANT-CITRONJAUNE-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.400,0.250,0.200,,,,,0.040,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00028,ING-PLANT-ABRICOT-000001,ING-PLANT-CITRONVERT-000001,all,raw_or_cooked,0.000,0.000,0.200,0.800,0.400,0.250,0.200,,,,,0.050,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00029,ING-PLANT-ABRICOT-000001,ING-PLANT-CLOUDEGIROFL-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.715,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00030,ING-PLANT-ABRICOT-000001,ING-DAIRY-COMT-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00031,ING-PLANT-ABRICOT-000001,ING-FERMENT-CONCENTRDETO-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00032,ING-PLANT-ABRICOT-000001,ING-PLANT-CORIANDREFRA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00033,ING-PLANT-ABRICOT-000001,ING-FERMENT-COULISDETOMA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00034,ING-PLANT-ABRICOT-000001,ING-MARINE-CREVETTE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00035,ING-PLANT-ABRICOT-000001,ING-DAIRY-CRMELIQUIDEE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00036,ING-PLANT-ABRICOT-000001,ING-PLANT-CURCUMA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00037,ING-PLANT-ABRICOT-000001,ING-FUNGUS-CPE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00038,ING-PLANT-ABRICOT-000001,ING-PLANT-ESTRAGON-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00039,ING-PLANT-ABRICOT-000001,ING-PLANT-FRAISE-000001,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.400,,,,,0.070,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00040,ING-PLANT-ABRICOT-000001,ING-PLANT-FRAMBOISE-000001,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.200,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00041,ING-PLANT-ABRICOT-000001,ING-PLANT-FRUITDELAPAS-000001,all,raw_or_cooked,0.000,0.000,0.200,0.800,0.400,0.250,0.200,,,,,0.050,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00042,ING-PLANT-ABRICOT-000001,ING-PLANT-GINGEMBRE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00043,ING-PLANT-ABRICOT-000001,ING-TECH-HUILEDOLIVEV-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.600,0.250,0.200,,,,,0.080,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.20
PAIR-00044,ING-PLANT-ABRICOT-000001,ING-TECH-HUILEDECOLZA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00045,ING-PLANT-ABRICOT-000001,ING-TECH-HUILEDETOURN-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00046,ING-PLANT-ABRICOT-000001,ING-PLANT-KIWI-000001,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.200,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00047,ING-PLANT-ABRICOT-000001,ING-DAIRY-LAITENTIER-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00048,ING-PLANT-ABRICOT-000001,ING-PLANT-MANGUE-000001,all,raw_or_cooked,0.000,0.000,0.500,0.500,0.400,0.250,0.400,,,,,0.100,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00049,ING-PLANT-ABRICOT-000001,ING-PLANT-MENTHE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00050,ING-PLANT-ABRICOT-000001,ING-TECH-MIEL-000001,all,raw_or_cooked,0.000,0.000,0.200,0.800,0.400,0.250,0.200,,,,,0.050,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00051,ING-PLANT-ABRICOT-000001,ING-COND-MISOBLANC-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00052,ING-PLANT-ABRICOT-000001,ING-MARINE-MOULE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00053,ING-PLANT-ABRICOT-000001,ING-COND-MOUTARDEDEDI-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00054,ING-PLANT-ABRICOT-000001,ING-DAIRY-MOZZARELLA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00055,ING-PLANT-ABRICOT-000001,ING-PLANT-MYRTILLE-000001,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.200,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00056,ING-PLANT-ABRICOT-000001,ING-PLANT-MRE-000001,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.200,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00057,ING-PLANT-ABRICOT-000001,ING-PLANT-OIGNON-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00058,ING-PLANT-ABRICOT-000001,ING-PLANT-PAMPLEMOUSSE-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.600,0.250,0.200,,,,,0.080,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.20
PAIR-00059,ING-PLANT-ABRICOT-000001,ING-PLANT-PAPAYE-000001,all,raw_or_cooked,0.000,0.000,0.500,0.500,0.400,0.250,0.400,,,,,0.100,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00060,ING-PLANT-ABRICOT-000001,ING-DAIRY-PARMIGIANORE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00061,ING-PLANT-ABRICOT-000001,ING-PLANT-PERSIL-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00062,ING-PLANT-ABRICOT-000001,ING-PLANT-PIMENTDESPEL-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00063,ING-PLANT-ABRICOT-000001,ING-PLANT-PIMENTFORT-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.715,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00064,ING-PLANT-ABRICOT-000001,ING-PLANT-POIREAU-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00065,ING-PLANT-ABRICOT-000001,ING-PLANT-POIVRENOIR-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.715,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00066,ING-PLANT-ABRICOT-000001,ING-PLANT-POIVRONROUGE-000001,all,raw_or_cooked,0.000,0.000,0.500,0.500,0.400,0.250,0.000,,,,,0.180,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00067,ING-PLANT-ABRICOT-000001,ING-PLANT-POMME-000001,all,raw_or_cooked,0.000,0.000,0.667,0.333,0.400,0.250,0.400,,,,,0.150,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.67; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00068,ING-PLANT-ABRICOT-000001,ING-PLANT-POMME-000002,all,raw_or_cooked,0.000,0.000,0.500,0.500,0.400,0.250,0.400,,,,,0.100,1.0.0,0.715,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00069,ING-PLANT-ABRICOT-000001,ING-ANIMAL-PORCVIANDE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00070,ING-PLANT-ABRICOT-000001,ING-ANIMAL-POULETVIANDE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00071,ING-PLANT-ABRICOT-000001,ING-PLANT-PCHE-000001,all,raw_or_cooked,0.000,0.000,1.000,0.000,0.400,0.250,0.600,,,,,0.210,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=1.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.60
PAIR-00072,ING-PLANT-ABRICOT-000001,ING-PLANT-RAISIN-000001,all,raw_or_cooked,0.000,0.000,0.667,0.333,0.400,0.250,0.400,,,,,0.150,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.67; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00073,ING-PLANT-ABRICOT-000001,ING-BEV-RHUMAMBR-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.400,0.375,0.200,,,,,0.015,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.38; masquage=0.20
PAIR-00074,ING-PLANT-ABRICOT-000001,ING-PLANT-ROMARIN-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
