ingredient_id,ciqual_alim_code,aliment_name,component_id,component_name,normalized_value,normalized_unit,confidence_code,confidence,source_citation
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",80.0,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",WATER,Eau (g/100 g),79.3,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",PROTEIN,"Protéines, N x 6.25 (g/100 g)",2.02,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",CARB,Glucides (g/100 g),16.2,g,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",SUGAR,Sucres (g/100 g),0.78,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",FIBER,Fibres alimentaires (g/100 g),2.2,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",FAT,Lipides (g/100 g),0.09,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",FAT_SAT,AG saturés (g/100 g),0.026,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",343.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",81.2,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",WATER,Eau (g/100 g),77.3,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",SALT,Sel chlorure de sodium (g/100 g),0.14,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",NA,Sodium (mg/100 g),55.0,mg,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",PROTEIN,"Protéines, N x 6.25 (g/100 g)",1.57,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",CARB,Glucides (g/100 g),17.1,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",SUGAR,Sucres (g/100 g),4.18,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",FIBER,Fibres alimentaires (g/100 g),3.0,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",FAT,Lipides (g/100 g),0.05,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PATATEDOUCE-000001,4101,"Patate douce, crue",FAT_SAT,AG saturés (g/100 g),0.018,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",1450.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",344.0,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",WATER,Eau (g/100 g),11.0,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",SALT,Sel chlorure de sodium (g/100 g),0.02,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",NA,Sodium (mg/100 g),8.0,mg,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",PROTEIN,"Protéines, N x 6.25 (g/100 g)",15.6,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",CARB,Glucides (g/100 g),59.5,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",SUGAR,Sucres (g/100 g),6.68,g,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",FIBER,Fibres alimentaires (g/100 g),10.7,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",FAT,Lipides (g/100 g),2.43,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-PEAUTRE-000001,9001,"Épeautre, cru",FAT_SAT,AG saturés (g/100 g),0.41,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",1440.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",342.0,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",WATER,Eau (g/100 g),10.9,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",SALT,Sel chlorure de sodium (g/100 g),0.005,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",NA,Sodium (mg/100 g),2.0,mg,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",PROTEIN,"Protéines, N x 6.25 (g/100 g)",14.7,g,C,0.75,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",CARB,Glucides (g/100 g),59.3,g,C,0.75,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",SUGAR,Sucres (g/100 g),1.8,g,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",FIBER,Fibres alimentaires (g/100 g),11.8,g,D,0.6,"ANSES Ciqual 2025-11-03 — Salvini S, Parpinel M, Gnagnarella P, Maisonneuve P, Turrini A (1998). Banca Dati di Composizione degli Alimenti per Studi Epidemiologici in Italia. Ed. Istituto Europeo di Oncologia.-Saxholt E, Christensen AT, Møller A, Hartkopp HB, Hess Ygil K, Hels OH (2009). Danish Food Composition Databank, revision 7.01. Department of Nutrition, National Food Institute, Technical University of Denmark, version 7.1, 2009."
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",FAT,Lipides (g/100 g),2.47,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-BLDUR-000001,9060,"Blé dur complet, cru",FAT_SAT,AG saturés (g/100 g),0.45,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",1480.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",350.0,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",WATER,Eau (g/100 g),12.6,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",SALT,Sel chlorure de sodium (g/100 g),0.0079,g,C,0.75,"ANSES Ciqual 2025-11-03 — Données industrielles françaises (2014)-U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",NA,Sodium (mg/100 g),2.33,mg,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",PROTEIN,"Protéines, N x 6.25 (g/100 g)",7.38,g,C,0.75,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",CARB,Glucides (g/100 g),77.5,g,C,0.75,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",SUGAR,Sucres (g/100 g),0.12,g,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",FIBER,Fibres alimentaires (g/100 g),1.53,g,C,0.75,"ANSES Ciqual 2025-11-03 — Données industrielles françaises (2014)-U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",FAT,Lipides (g/100 g),0.79,g,C,0.75,"ANSES Ciqual 2025-11-03 — Données industrielles françaises (2014)-U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-RIZ-000001,9100,"Riz blanc, cru",FAT_SAT,AG saturés (g/100 g),0.16,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",1590.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",378.0,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",WATER,Eau (g/100 g),8.22,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",SALT,Sel chlorure de sodium (g/100 g),0.005,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",NA,Sodium (mg/100 g),2.0,mg,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",PROTEIN,"Protéines, N x 6.25 (g/100 g)",18.1,g,C,0.75,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",CARB,Glucides (g/100 g),55.7,g,C,0.75,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",SUGAR,Sucres (g/100 g),1.2,g,D,0.6,"ANSES Ciqual 2025-11-03 — Sauvant D, Perez JM, Tran G (2002). Tables de composition et de valeur nutritive des matières premières destinées aux animaux d'élevage. INRA Editions, Paris."
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",FIBER,Fibres alimentaires (g/100 g),10.6,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",FAT,Lipides (g/100 g),6.9,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-AVOINE-000001,9310,"Avoine, crue",FAT_SAT,AG saturés (g/100 g),1.22,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",1410.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",334.0,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",WATER,Eau (g/100 g),9.44,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",SALT,Sel chlorure de sodium (g/100 g),0.03,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",NA,Sodium (mg/100 g),12.0,mg,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",PROTEIN,"Protéines, N x 6.25 (g/100 g)",13.4,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",CARB,Glucides (g/100 g),56.2,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",SUGAR,Sucres (g/100 g),0.8,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",FIBER,Fibres alimentaires (g/100 g),17.3,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",FAT,Lipides (g/100 g),2.3,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-ORGE-000001,9320,"Orge complète, crue",FAT_SAT,AG saturés (g/100 g),0.48,g,C,0.75,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",1510.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",358.0,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",WATER,Eau (g/100 g),13.3,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",SALT,Sel chlorure de sodium (g/100 g),0.013,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",NA,Sodium (mg/100 g),5.0,mg,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",PROTEIN,"Protéines, N x 6.25 (g/100 g)",14.1,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",CARB,Glucides (g/100 g),58.1,g,B,0.85,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",FIBER,Fibres alimentaires (g/100 g),7.0,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
ING-PLANT-QUINOA-000001,9340,"Quinoa, cru",FAT,Lipides (g/100 g),6.07,g,B,0.85,"ANSES Ciqual 2025-11-03 — U.S. Department of Agriculture, Agricultural Research Service (2014). USDA National Nutrient Database for Standard Reference, Release 27. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/ba/bhnrc/ndl"
