ingredient_id,ingredient_state_id,compound_id,presence_status,concentration,concentration_unit,concentration_min,concentration_max,analytical_method,matrix,process_state,source_ref,evidence_type,confidence
ING-PLANT-TOMATE-000001,raw,HEXANAL,QUANTIFIED,1,mg/100g,0.5,1.5,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-PLANT-TOMATE-000001,raw,E2HEXENAL,QUANTIFIED,0.3,mg/100g,0.1,0.6,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-PLANT-CAROTTE-000001,raw,HEXANAL,QUANTIFIED,0.2,mg/100g,0.1,0.5,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.85
ING-PLANT-CAROTTE-000001,raw,E2HEXENAL,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.80
ING-PLANT-OIGNON-000001,raw,H2S,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.95
ING-PLANT-OIGNON-000001,raw,HEXANAL,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.85
ING-PLANT-AIL-000001,raw,DMS,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.95
ING-PLANT-AIL-000001,raw,H2S,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.95
ING-FUNGUS-CHAMPIGNONDE-000001,raw,OCTENAL,QUANTIFIED,3,mg/100g,1.5,5,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-DAIRY-BEURREDOUX-000001,churned,BUTYRIC,QUANTIFIED,250,mg/100g,200,300,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,churned,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-DAIRY-BEURREDOUX-000001,churned,CAPROIC,QUANTIFIED,80,mg/100g,60,100,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,churned,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-DAIRY-LAITENTIER-000001,pasteurized,BUTYRIC,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,pasteurized,FLAVORDB2,measured,0.80
ING-DAIRY-LAITENTIER-000001,pasteurized,CAPROIC,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,pasteurized,FLAVORDB2,measured,0.80
ING-TECH-CHOCOLATNOIR-000001,conched,TETRAMPYR,QUANTIFIED,0.5,mg/100g,0.3,0.8,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,conched,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-TECH-CHOCOLATNOIR-000001,conched,TMPYRZ,QUANTIFIED,0.3,mg/100g,0.1,0.5,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,conched,FLAVORDB2|PUBCHEM,analytical_database,0.85
ING-TECH-CHOCOLATNOIR-000001,conched,GUAIACOL,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,conched,FLAVORDB2,measured,0.90
ING-BEV-CAFESPRESSO-000001,brewed,GUAIACOL,QUANTIFIED,2.5,mg/100g,1.5,3.5,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,brewed,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-BEV-CAFESPRESSO-000001,brewed,MEPYRAZ,QUANTIFIED,1,mg/100g,0.5,1.5,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,brewed,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-BEV-CAFESPRESSO-000001,brewed,TMPYRZ,QUANTIFIED,0.8,mg/100g,0.4,1.2,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,brewed,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-PLANT-VANILLEGOUSS-000001,raw,VANILLIN,QUANTIFIED,200,mg/100g,150,250,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.98
ING-PLANT-CANNELLE-000001,dried,CINNAMAL,QUANTIFIED,2500,mg/100g,2000,3000,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,dried,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-PLANT-CLOUDEGIROFL-000001,dried,EUGENOL,QUANTIFIED,15000,mg/100g,13000,18000,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,dried,FLAVORDB2|PUBCHEM,analytical_database,0.98
ING-PLANT-BASILIC-000001,raw,LINALOOL,QUANTIFIED,5,mg/100g,3,8,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-PLANT-BASILIC-000001,raw,EUGENOL,QUANTIFIED,1.5,mg/100g,0.5,3,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.85
ING-PLANT-MENTHE-000001,raw,MENTHOL,QUANTIFIED,30,mg/100g,20,40,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.98
ING-PLANT-MENTHE-000001,raw,CARVONE,QUANTIFIED,5,mg/100g,3,8,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.85
ING-PLANT-ROMARIN-000001,raw,E2HEXENAL,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.85
ING-PLANT-ROMARIN-000001,raw,EUGENOL,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.80
ING-MARINE-SAUMON-000001,raw,DMS,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.80
ING-MARINE-THON-000001,raw,DMS,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.80
ING-PLANT-TOMATESCHE-000001,dried,HEXANAL,QUANTIFIED,5,mg/100g,3,8,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,dried,FLAVORDB2|PUBCHEM,analytical_database,0.85
ING-PLANT-TOMATESCHE-000001,dried,E2HEXENAL,QUANTIFIED,1.5,mg/100g,0.5,3,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,dried,FLAVORDB2|PUBCHEM,analytical_database,0.85
ING-TECH-SUCREBLANC-000001,crystallized,SUCROSE,QUANTIFIED,99.8,g/100g,99.5,100,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,crystallized,FLAVORDB2|PUBCHEM,analytical_database,0.99
ING-TECH-MIEL-000001,raw,GLUCOSE,QUANTIFIED,35.7,g/100g,30,40,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.97
ING-TECH-MIEL-000001,raw,FRUCTOSE,QUANTIFIED,40.9,g/100g,35,45,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.97
ING-PLANT-PIMENTFORT-000001,raw,CAPSAICIN,QUANTIFIED,50,mg/100g,20,250,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-PLANT-POMME-000002,baked,FURANEOL,REPORTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,baked,FLAVORDB2,measured,0.85
ING-PLANT-POIVRENOIR-000001,dried,LIMONENE,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,dried,FLAVORDB2,measured,0.85
ING-PLANT-TOMATESCHE-000001,dried,GUAIACOL,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,dried,FLAVORDB2,measured,0.80
ING-TECH-EXTRAITDEVAN-000001,distilled,VANILLIN,QUANTIFIED,200,mg/100g,150,250,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,distilled,FLAVORDB2|PUBCHEM,analytical_database,0.95
