nutrition_record_id,ingredient_id,ingredient_state_id,canonical_name_fr,source_id,source_food_id,source_food_name,source_version,source_country,component_id,component_name,component_group,original_value,original_unit,normalized_value,normalized_unit,basis,value_qualifier,value_type,min_value,max_value,sample_count,analytical_method,derivation_method,data_date,retrieval_date,source_url,confidence,mapping_confidence,notes
NUTR-0000012,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,SUCROSE,Saccharose,carbohydrate,2.1,g,2.1,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000013,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,FIBER,Fibres alimentaires,carbohydrate,2.4,g,2.4,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000014,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,FIBER_INS,Fibres insolubles,carbohydrate,1.8,g,1.8,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000015,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,FIBER_SOL,Fibres solubles,carbohydrate,0.6,g,0.6,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000016,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,NA,Sodium,mineral,1,mg,1,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000017,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,K,Potassium,mineral,107,mg,107,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000018,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,CA,Calcium,mineral,4,mg,4,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000019,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,MG,Magnésium,mineral,5,mg,5,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000020,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,P,Phosphore,mineral,12,mg,12,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000021,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,FE,Fer,mineral,0.12,mg,0.12,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000022,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,VITC,Vitamine C,vitamin,4.6,mg,4.6,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000023,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,THIAMIN,Vitamine B1 (thiamine),vitamin,0.017,mg,0.017,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000024,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,RIBFL,Vitamine B2 (riboflavine),vitamin,0.026,mg,0.026,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000025,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,VITB6,Vitamine B6,vitamin,0.041,mg,0.041,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000026,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,FOL,Folates totaux,vitamin,3,µg,3,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000027,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,POLYPHEN,Polyphénols totaux,bioactive,65,mg,65,mg,per_100g_edible_part,ESTIMATED,analytical_database,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000028,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,ENERCKCAL,Énergie (kcal),energy,52,kcal,52,kcal,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000029,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,WATER,Eau,matrix,85.6,g,85.6,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000030,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,PROTEIN,Protéines,macronutrient,0.26,g,0.26,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000031,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,FAT,Lipides totaux,macronutrient,0.17,g,0.17,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000032,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,CARB,Glucides totaux,macronutrient,13.81,g,13.81,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000033,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,SUGAR,Sucres totaux,carbohydrate,10.39,g,10.39,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000034,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,FIBER,Fibres alimentaires,carbohydrate,2.4,g,2.4,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000035,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,K,Potassium,mineral,107,mg,107,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000036,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,CA,Calcium,mineral,6,mg,6,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000037,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,FE,Fer,mineral,0.12,mg,0.12,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000038,ING-PLANT-POMME-000001,raw,Pomme crue,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",2024-10,United States,VITC,Vitamine C,vitamin,4.6,mg,4.6,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://fdc.nal.usda.gov/,0.85,0.90,
NUTR-0000039,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,ENERCKCAL,Énergie (kcal),energy,18,kcal,18,kcal,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000040,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,WATER,Eau,matrix,94.0,g,94.0,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000041,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,PROTEIN,Protéines,macronutrient,0.86,g,0.86,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000042,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,FAT,Lipides totaux,macronutrient,0.2,g,0.2,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000043,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,CARB,Glucides totaux,macronutrient,3.18,g,3.18,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000044,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,SUGAR,Sucres totaux,carbohydrate,2.79,g,2.79,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000045,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,FIBER,Fibres alimentaires,carbohydrate,1.2,g,1.2,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000046,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,K,Potassium,mineral,222,mg,222,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000047,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,NA,Sodium,mineral,4,mg,4,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000048,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,CA,Calcium,mineral,9,mg,9,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000049,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,MG,Magnésium,mineral,11,mg,11,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000050,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,VITC,Vitamine C,vitamin,13.7,mg,13.7,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000051,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,CAROTENE_B,β-carotène,vitamin,449,µg,449,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000052,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,VITA,Vitamine A (équivalent rétinol),vitamin,75,µg,75,µg,per_100g_edible_part,CALCULATED,analytical_database,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000053,ING-PLANT-TOMATE-000001,raw,Tomate fraîche,CIQUAL,13040,"Tomate, crue",2024-2025,France,FOL,Folates totaux,vitamin,13,µg,13,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000054,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,ENERCKCAL,Énergie (kcal),energy,143,kcal,143,kcal,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000055,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,WATER,Eau,matrix,76.1,g,76.1,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000056,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,PROTEIN,Protéines,macronutrient,12.6,g,12.6,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000057,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,FAT,Lipides totaux,macronutrient,9.5,g,9.5,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000058,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,FAT_SAT,Acides gras saturés,lipid,3.1,g,3.1,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000059,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,FAT_MONO,Acides gras mono-insaturés,lipid,3.7,g,3.7,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000060,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,FAT_POLY,Acides gras poly-insaturés,lipid,1.3,g,1.3,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000061,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,CHOLEST,Cholestérol,lipid,380,mg,380,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000062,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,CARB,Glucides totaux,macronutrient,0.4,g,0.4,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000063,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,NA,Sodium,mineral,140,mg,140,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000064,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,K,Potassium,mineral,130,mg,130,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000065,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,CA,Calcium,mineral,50,mg,50,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000066,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,FE,Fer,mineral,1.7,mg,1.7,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000067,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,VITA,Vitamine A (équivalent rétinol),vitamin,220,µg,220,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000068,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,VITD,Vitamine D,vitamin,1.8,µg,1.8,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000069,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,VITB12,Vitamine B12,vitamin,1.1,µg,1.1,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000070,ING-ANIMAL-UFDEPOULE-000001,raw,Œuf de poule,CIQUAL,22000,"Œuf, entier",2024-2025,France,FOL,Folates totaux,vitamin,47,µg,47,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000071,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,ENERCKCAL,Énergie (kcal),energy,720,kcal,720,kcal,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000072,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,WATER,Eau,matrix,15.7,g,15.7,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000073,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,PROTEIN,Protéines,macronutrient,0.7,g,0.7,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000074,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,FAT,Lipides totaux,macronutrient,81.5,g,81.5,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000075,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,FAT_SAT,Acides gras saturés,lipid,51.3,g,51.3,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000076,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,FAT_MONO,Acides gras mono-insaturés,lipid,21.1,g,21.1,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000077,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,FAT_POLY,Acides gras poly-insaturés,lipid,3.0,g,3.0,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000078,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,CHOLEST,Cholestérol,lipid,215,mg,215,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000079,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,CARB,Glucides totaux,macronutrient,0.6,g,0.6,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000080,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,SUGAR,Sucres totaux,carbohydrate,0.6,g,0.6,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000081,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,CA,Calcium,mineral,16,mg,16,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000082,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,NA,Sodium,mineral,5,mg,5,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000083,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,VITA,Vitamine A (équivalent rétinol),vitamin,700,µg,700,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000084,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,CAROTENE_B,β-carotène,vitamin,305,µg,305,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000085,ING-DAIRY-BEURREDOUX-000001,churned,Beurre doux,CIQUAL,16400,Beurre doux,2024-2025,France,VITD,Vitamine D,vitamin,1.5,µg,1.5,µg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000086,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,ENERCKCAL,Énergie (kcal),energy,63,kcal,63,kcal,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000087,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,WATER,Eau,matrix,87.4,g,87.4,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000088,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,PROTEIN,Protéines,macronutrient,3.15,g,3.15,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000089,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,FAT,Lipides totaux,macronutrient,3.5,g,3.5,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000090,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,FAT_SAT,Acides gras saturés,lipid,2.27,g,2.27,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000091,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,FAT_MONO,Acides gras mono-insaturés,lipid,1.06,g,1.06,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000092,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,FAT_POLY,Acides gras poly-insaturés,lipid,0.1,g,0.1,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000093,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,CHOLEST,Cholestérol,lipid,11,mg,11,mg,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000094,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,CARB,Glucides totaux,macronutrient,4.65,g,4.65,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
NUTR-0000095,ING-DAIRY-LAITENTIER-000001,pasteurized,Lait entier,CIQUAL,19000,"Lait entier, UHT",2024-2025,France,SUGAR,Sucres totaux,carbohydrate,4.65,g,4.65,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,,0.95,0.90,
