ingredient_id,canonical_name_fr,canonical_name_en,aliases_fr,aliases_en,scientific_name,kingdom_or_origin,category_level_1,category_level_2,category_level_3,source_organism,anatomical_part,ingredient_class,raw_or_intermediate,processing_state,physical_form,fermented,dried,smoked,roasted,concentrated,alcoholic,generic_abv_range,country_or_region_relevance,foodon_id,langual_ids,foodex2_code,ciqual_ids,usda_fdc_ids,other_external_ids,allergen_tags,regulatory_notes,source_refs,confidence,review_status,notes
ING-PLANT-FRAISE-000001,Fraise crue,"Strawberry, raw",fraise,strawberry,Fragaria × ananassa,Plantae,végétal,fruit,baie,Fragaria × ananassa,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,13007,173944,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-FRAMBOISE-000001,Framboise crue,"Raspberry, raw",framboise,raspberry,Rubus idaeus,Plantae,végétal,fruit,baie,Rubus idaeus,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,13014,173945,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-MYRTILLE-000001,Myrtille crue,"Blueberry, raw",myrtille,blueberry,Vaccinium corymbosum,Plantae,végétal,fruit,baie,Vaccinium corymbosum,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,13021,171711,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-MRE-000001,Mûre crue,"Blackberry, raw",mûre,blackberry,Rubus fruticosus,Plantae,végétal,fruit,baie,Rubus fruticosus,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,13015,173946,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-CASSIS-000001,Cassis crue,"Blackcurrant, raw",cassis,blackcurrant,Ribes nigrum,Plantae,végétal,fruit,baie,Ribes nigrum,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,13019,173948,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-GROSEILLE-000001,Groseille crue,"Redcurrant, raw",groseille,redcurrant,Ribes rubrum,Plantae,végétal,fruit,baie,Ribes rubrum,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,13018,173949,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-CANNEBERGE-000001,Canneberge crue,"Cranberry, raw",canneberge,cranberry,Vaccinium macrocarpon,Plantae,végétal,fruit,baie,Vaccinium macrocarpon,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,13149,171722,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-MREBLANCHE-000001,Mûre blanche crue,"Mulberry, raw",mûre blanche,mulberry,Morus alba,Plantae,végétal,fruit,baie,Morus alba,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,,,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-AIRELLE-000001,Airelle crue,"Lingonberry, raw",airelle,lingonberry,Vaccinium vitis-idaea,Plantae,végétal,fruit,baie,Vaccinium vitis-idaea,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,,,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-GROSEILLEMAQ-000001,Groseille à maquereau crue,"Gooseberry, raw",groseille à maquereau,gooseberry,Ribes uva-crispa,Plantae,végétal,fruit,baie,Ribes uva-crispa,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330291,,,,,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PCHE-000001,Pêche crue,"Peach, raw",pêche,peach,Prunus persica,Plantae,végétal,fruit,fruit à noyau,Prunus persica,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330251,,,13011,173944,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ABRICOT-000001,Abricot crue,"Apricot, raw",abricot,apricot,Prunus armeniaca,Plantae,végétal,fruit,fruit à noyau,Prunus armeniaca,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330251,,,13012,173946,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PRUNE-000001,Prune crue,"Plum, raw",prune,plum,Prunus domestica,Plantae,végétal,fruit,fruit à noyau,Prunus domestica,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330251,,,13013,173949,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-CERISE-000001,Cerise crue,"Cherry, raw",cerise,cherry,Prunus avium,Plantae,végétal,fruit,fruit à noyau,Prunus avium,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330251,,,13017,173947,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-OLIVE-000001,Olive crue,"Olive, raw",olive,olive,Olea europaea,Plantae,végétal,fruit,drupe tropicale,Olea europaea,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330251,,,13022,173945,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-MANGUE-000001,Mangue crue,"Mango, raw",mangue,mango,Mangifera indica,Plantae,végétal,fruit,drupe tropicale,Mangifera indica,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330251,,,13025,173948,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-BANANE-000001,Banane,Banana,banane,banana,Musa × paradisiaca,Plantae,végétal,fruit,fruit tropical,Musa × paradisiaca,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13000,173944,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ANANAS-000001,Ananas,Pineapple,ananas,pineapple,Ananas comosus,Plantae,végétal,fruit,fruit tropical,Ananas comosus,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13030,169124,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-FRUITDELAPAS-000001,Fruit de la passion,Passion fruit,fruit de la passion,passion fruit,Passiflora edulis,Plantae,végétal,fruit,fruit tropical,Passiflora edulis,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13031,173944,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PAPAYE-000001,Papaye,Papaya,papaye,papaya,Carica papaya,Plantae,végétal,fruit,fruit tropical,Carica papaya,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13026,169167,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-GOYAVE-000001,Goyave,Guava,goyave,guava,Psidium guajava,Plantae,végétal,fruit,fruit tropical,Psidium guajava,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13027,173944,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-LITCHI-000001,Litchi,Lychee,litchi,lychee,Litchi chinensis,Plantae,végétal,fruit,fruit tropical,Litchi chinensis,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13028,169089,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-FRUITDUDRAGO-000001,Fruit du dragon,Dragon fruit,fruit du dragon,dragon fruit,Hylocereus undatus,Plantae,végétal,fruit,fruit tropical,Hylocereus undatus,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,,,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-KAKI-000001,Kaki,Persimmon,kaki,persimmon,Diospyros kaki,Plantae,végétal,fruit,fruit tropical,Diospyros kaki,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13029,169944,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-GRENADE-000001,Grenade,Pomegranate,grenade,pomegranate,Punica granatum,Plantae,végétal,fruit,fruit tropical,Punica granatum,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13032,169134,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-CARAMBOLE-000001,Carambole,Starfruit,carambole,starfruit,Averrhoa carambola,Plantae,végétal,fruit,fruit tropical,Averrhoa carambola,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,,,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-KIWI-000001,Kiwi,Kiwi,kiwi,kiwi,Actinidia deliciosa,Plantae,végétal,fruit,fruit tropical,Actinidia deliciosa,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,13033,173948,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PHYSALIS-000001,Physalis,Cape gooseberry,physalis,cape gooseberry,Physalis peruviana,Plantae,végétal,fruit,fruit tropical,Physalis peruviana,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330232,,,,,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-RAISIN-000001,Raisin frais,"Grape, raw",raisin|grappe,grape|grapes,Vitis vinifera,Plantae,végétal,fruit,fruit en grappe,Vitis vinifera,baie,fruit frais,raw,fresh,whole,,,,,,,,,FOODON:0330172,,,13002,173411,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-RAISINSEC-000001,Raisin sec,Raisin,raisins secs,raisins|dried grapes,Vitis vinifera,Plantae,végétal,fruit,fruit séché,Vitis vinifera,baie,fruit séché,intermediate,dried,whole,,true,,,,,,,FOODON:0330173,,,13003,173946,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-AMANDE-000001,Amande crue,"Almond, raw",amande,almond,Prunus dulcis,Plantae,végétal,fruit sec,fruit à coque,Prunus dulcis,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15001,170567,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-AMANDETORRFI-000001,Amande torréfiée,"Almond, roasted",amande grillée,roasted almond,Prunus dulcis,Plantae,végétal,fruit sec,fruit à coque torréfié,Prunus dulcis,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-TECH-BEURREDEAMAN-000001,Beurre de amande,Almond butter,pâte de amande,almond paste,Prunus dulcis,Plantae,végétal,sous-produit,beurre de fruits à coque,Prunus dulcis,graine,beurre de fruits à coque,intermediate,ground,paste,,,,,,,,,,,,,,,nuts,Allergène — étiquetage obligatoire,MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-NOISETTE-000001,Noisette crue,"Hazelnut, raw",noisette,hazelnut,Corylus avellana,Plantae,végétal,fruit sec,fruit à coque,Corylus avellana,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15002,170581,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-NOISETTETORR-000001,Noisette torréfiée,"Hazelnut, roasted",noisette grillée,roasted hazelnut,Corylus avellana,Plantae,végétal,fruit sec,fruit à coque torréfié,Corylus avellana,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-TECH-BEURREDENOIS-000001,Beurre de noisette,Hazelnut butter,pâte de noisette,hazelnut paste,Corylus avellana,Plantae,végétal,sous-produit,beurre de fruits à coque,Corylus avellana,graine,beurre de fruits à coque,intermediate,ground,paste,,,,,,,,,,,,,,,nuts,Allergène — étiquetage obligatoire,MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-NOIX-000001,Noix crue,"Walnut, raw",noix,walnut,Juglans regia,Plantae,végétal,fruit sec,fruit à coque,Juglans regia,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15003,170569,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-NOIXTORRFIE-000001,Noix torréfiée,"Walnut, roasted",noix grillée,roasted walnut,Juglans regia,Plantae,végétal,fruit sec,fruit à coque torréfié,Juglans regia,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PISTACHE-000001,Pistache crue,"Pistachio, raw",pistache,pistachio,Pistacia vera,Plantae,végétal,fruit sec,fruit à coque,Pistacia vera,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15004,170574,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PISTACHETORR-000001,Pistache torréfiée,"Pistachio, roasted",pistache grillée,roasted pistachio,Pistacia vera,Plantae,végétal,fruit sec,fruit à coque torréfié,Pistacia vera,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-TECH-BEURREDEPIST-000001,Beurre de pistache,Pistachio butter,pâte de pistache,pistachio paste,Pistacia vera,Plantae,végétal,sous-produit,beurre de fruits à coque,Pistacia vera,graine,beurre de fruits à coque,intermediate,ground,paste,,,,,,,,,,,,,,,nuts,Allergène — étiquetage obligatoire,MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-CAJOU-000001,Cajou crue,"Cashew, raw",cajou,cashew,Anacardium occidentale,Plantae,végétal,fruit sec,fruit à coque,Anacardium occidentale,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15005,170575,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-CAJOUTORRFIE-000001,Cajou torréfiée,"Cashew, roasted",cajou grillée,roasted cashew,Anacardium occidentale,Plantae,végétal,fruit sec,fruit à coque torréfié,Anacardium occidentale,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-TECH-BEURREDECAJO-000001,Beurre de cajou,Cashew butter,pâte de cajou,cashew paste,Anacardium occidentale,Plantae,végétal,sous-produit,beurre de fruits à coque,Anacardium occidentale,graine,beurre de fruits à coque,intermediate,ground,paste,,,,,,,,,,,,,,,nuts,Allergène — étiquetage obligatoire,MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-PCAN-000001,Pécan crue,"Pecan, raw",pécan,pecan,Carya illinoinensis,Plantae,végétal,fruit sec,fruit à coque,Carya illinoinensis,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15006,170572,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PCANTORRFIE-000001,Pécan torréfiée,"Pecan, roasted",pécan grillée,roasted pecan,Carya illinoinensis,Plantae,végétal,fruit sec,fruit à coque torréfié,Carya illinoinensis,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-NOIXDUBRSIL-000001,Noix du Brésil crue,"Brazil nut, raw",noix du brésil,brazil nut,Bertholletia excelsa,Plantae,végétal,fruit sec,fruit à coque,Bertholletia excelsa,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15007,170573,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-NOIXDUBRSILT-000001,Noix du Brésil torréfiée,"Brazil nut, roasted",noix du brésil grillée,roasted brazil nut,Bertholletia excelsa,Plantae,végétal,fruit sec,fruit à coque torréfié,Bertholletia excelsa,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-TECH-BEURREDENOIX-000001,Beurre de noix du brésil,Brazil nut butter,pâte de noix du brésil,brazil nut paste,Bertholletia excelsa,Plantae,végétal,sous-produit,beurre de fruits à coque,Bertholletia excelsa,graine,beurre de fruits à coque,intermediate,ground,paste,,,,,,,,,,,,,,,nuts,Allergène — étiquetage obligatoire,MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-NOIXDEMACADA-000001,Noix de Macadamia crue,"Macadamia, raw",noix de macadamia,macadamia,Macadamia integrifolia,Plantae,végétal,fruit sec,fruit à coque,Macadamia integrifolia,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15008,170578,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-NOIXDEMACADA-000002,Noix de Macadamia torréfiée,"Macadamia, roasted",noix de macadamia grillée,roasted macadamia,Macadamia integrifolia,Plantae,végétal,fruit sec,fruit à coque torréfié,Macadamia integrifolia,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
ING-TECH-BEURREDENOIX-000002,Beurre de noix de macadamia,Macadamia butter,pâte de noix de macadamia,macadamia paste,Macadamia integrifolia,Plantae,végétal,sous-produit,beurre de fruits à coque,Macadamia integrifolia,graine,beurre de fruits à coque,intermediate,ground,paste,,,,,,,,,,,,,,,nuts,Allergène — étiquetage obligatoire,MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-PIGNONDEPIN-000001,Pignon de pin crue,"Pine nut, raw",pignon de pin,pine nut,Pinus pinea,Plantae,végétal,fruit sec,fruit à coque,Pinus pinea,graine,fruit à coque,raw,fresh,whole,,false,,false,,,,,FOODON:0330123,,,15009,170584,,nuts,Allergène majeur (règlement INCO UE 1169/2011),FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-PIGNONDEPINT-000001,Pignon de pin torréfiée,"Pine nut, roasted",pignon de pin grillée,roasted pine nut,Pinus pinea,Plantae,végétal,fruit sec,fruit à coque torréfié,Pinus pinea,graine,fruit à coque torréfié,intermediate,roasted,whole,,,,true,,,,,FOODON:0330124,,,,,,nuts,Allergène majeur,FOODON|MAESTRO_INTERNAL,0.85,curated,
